장 소: 강진읍 농협중앙회 행사장(주차장)	O O AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I
네, 기다려 주셔서 감사합니다. 회수할 주소가 서울 성동구 근남면 구산리 맞습니까?	O O O O O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I O
○강릉 씨마크호텔(더스파샵)	AD_DETAIL-B AD_DETAIL-I
배송받으셨던 강원도 춘천시 마산합포구 합포북18길 꿈마을아파트 이하 주소 확인 부탁드립니다.	O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B O O O O
1528동 4002호요.	AD_DETAIL-B AD_DETAIL-I
금정역 회식 장소로 추천하는 유가네양꼬치에 다녀왔어요^^	AD_ADDRESS-B O O O AD_ADDRESS-I O
월드빌라 403호입니다.	AD_DETAIL-B AD_DETAIL-I
상품 회수는 경기도 시흥시 김포대로1518번길 금호아파트 이하 주소 확인 부탁드립니다.	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B O O O O
e편한세상아파트 582동9316호입니다	AD_DETAIL-B AD_DETAIL-I
경남 밀양시 진해구 양지마을주공 아파트 607동 2132호 맞습니까?	AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I O
네. 확인해 주셔서 감사합니다. 처리 도움 드리겠습니다. 상품 회수 주소는 서울 강서구 백옥대로 64 52길 광평푸르지오 2차아파트입니까?	O O O O O O O O O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B AD_DETAIL-I
네비게이션 주소: 경기도 시흥시 서해안로 699 시흥 프리미엄 아울렛 고객센터 : 1644-4001	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I O O O
서울 강남구 신사동 534-23번지, 지하 1층 [우측입구]	AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I
나주시 미추홀구 은기동 다음주소가 어떻게되십니까?	AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O O
